Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D7.5mm_P2.50mm,1,180u,
C2,CP_Radial_D7.5mm_P2.50mm,1,100u,
C3,1206,1,10u,
D1,D_SMA,1,SS34,
D3,D_SMA,1,SS310,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"J10, J6, J8, J9","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",4,Screw_Terminal_01x02,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",1,Screw_Terminal_01x04,
J5,"TerminalBlock_Phoenix_PT-1,5-8-3.5-H_1x08_P3.50mm_Horizontal",1,Digital I/O,
J7,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,DAC_OUT,
"JP1, JP2",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Bridged,
L1,IND-SMD_L7.1-W6.6_H5.0,1,68uH,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
U2,MODULE_NODEMCU-32S,1,NODEMCU-32S,
"U3, U4",CONV_BOB-12009,2,BOB-12009,
